long,lat,cat_id
-118.447502,34.183331,0
-118.44944,34.16,0
-118.449997,33.98444,0
-118.451111,34.01556,0
-118.452499,34.033058,0
-118.455559,34.048889,0
-118.461388,34.27972,0
-118.464439,34.305,0
-118.476112,37.201939,0
-118.476669,34.56583,0
-118.483063,35.39806,0
-118.487503,34.96278,0
-118.489723,34.209721,0
-118.490562,34.130829,0
-118.5,35.40694,0
-118.508057,33.43222,0
-118.526108,34.14167,0
-118.531387,34.256939,0
-118.533058,34.220001,0
-118.547218,34.19389,0
-118.551666,34.415829,0
-118.552498,34.398331,0
-118.565559,34.238609,0
-118.569168,34.238892,0
-118.594437,34.16861,0
-118.595001,34.17556,0
-118.595284,34.466389,0
-118.598061,35.113609,0
-118.599167,34.17889,0
-118.599442,34.51722,0
-118.625832,34.237499,0
-118.646942,34.061939,0
-118.688057,34.03722,0
-118.693893,34.044441,0
-118.696114,34.237782,0
-118.698059,34.15028,0
-118.717781,34.268608,0
-118.731667,34.767502,0
-118.802223,36.149719,0
-118.817497,34.14167,0
-118.833328,35.256672,0
-118.834167,36.49556,0
-118.835281,34.24667,0
-118.838608,37.62389,0
-118.848892,37.62722,0
-118.852783,35.406391,0
-118.853058,34.041672,0
-118.855003,35.179722,0
-118.8675,34.083328,0
-118.882217,34.2075,0
-118.908607,34.19722,0
-118.914436,34.988892,0
-118.916107,34.195831,0
-118.917778,34.158058,0
-118.968887,35.383888,0
-118.995827,35.324718,0
-119.006111,35.390831,0
-119.019722,35.383331,0
-119.045563,35.263062,0
-119.050003,36.16222,0
-119.056671,35.433331,0
-119.058891,34.76083,0
-119.061111,34.346939,0
-119.0625,36.029442,0
-119.09417,34.213612,0
-119.106392,37.958061,0
-119.107224,36.398609,0
-119.127502,35.59639,0
-119.128609,36.906109,0
-119.13694,36.717499,0
-119.149437,36.242779,0
-119.157784,34.216671,0
